Counter-Strike: Global Offensive ; 395509.26
Dota 2 ; 439367.83
PLAYERUNKNOWN'S BATTLEGROUNDS ; 473541.26
Rust ; 42622.28
Team Fortress 2 ; 50592.4
Grand Theft Auto V ; 55641.33
Tom Clancy's Rainbow Six Siege ; 70865.32
Rocket League ; 35315.53
Path of Exile ; 51321.88
ARK: Survival Evolved ; 42992.14
Sid Meier's Civilization VI ; 26756.61
PAYDAY 2 ; 13910.37
Wallpaper Engine ; 9356.55
Warframe ; 53727.55
Euro Truck Simulator 2 ; 20117.58
Stardew Valley ; 11160.12
Garry's Mod ; 25707.03
Dead by Daylight ; 19722.54
War Thunder ; 13328.36
Total War: WARHAMMER II ; 15920.81
DayZ ; 7886.47
Farming Simulator 19 ; 14786.28
Hearts of Iron IV ; 13635.03
World of Tanks Blitz ; 9825.18
The Elder Scrolls Online ; 12020.54
The Elder Scrolls V: Skyrim Special Edition ; 11457.97
Brawlhalla ; 8345.61
Unturned ; 18162.71
Spacewar ; 6788.12
7 Days to Die ; 13770.37
SMITE ; 6683.82
Sid Meier's Civilization V ; 25999.34
FINAL FANTASY XIV Online ; 6184.32
RimWorld ; 10097.42
Europa Universalis IV ; 12532.94
Counter-Strike ; 11583.65
Arma 3 ; 13554.29
Black Desert Online ; 10753.9
Bloons TD 6 ; 465.62
Factorio ; 7118.64
Dead Cells ; 1797.62
DARK SOULS� III ; 8414.36
Fallout 4 ; 16971.13
VRChat ; 5976.02
Stellaris ; 20411.2
World of Warships ; 3758.6
Paladins ; 14880.47
Albion Online ; 239.93
Yu-Gi-Oh! Duel Links ; 5793.98
Soundpad ; 722.53
Assassin's Creed Odyssey ; 13520.97
The Forest ; 8196.17
Deep Rock Galactic ; 1430.48
Green Hell ; 306.38
The Binding of Isaac: Rebirth ; 5620.54
Raft ; 1516.97
Oxygen Not Included ; 4262.15
Conan Exiles ; 4981.92
Human: Fall Flat ; 2850.19
Hunt: Showdown ; 1898.2
Dying Light ; 4673.75
Geometry Dash ; 2314.47
SCUM ; 2458.96
Aim Lab ; 51.12
Company of Heroes 2 ; 11902.27
The Elder Scrolls V: Skyrim ; 10321.92
Russian Fishing 4 ; 2840.89
Mount & Blade: Warband ; 7372.96
SCP: Secret Laboratory ; 2354.84
Total War: ROME II - Emperor Edition ; 5600.8
Squad ; 1928.81
Hollow Knight ; 2197.74
Grim Dawn ; 3524.48
BeamNG.drive ; 1935.57
Killing Floor 2 ; 10149.7
Black Desert ; 1583.72
Warhammer: Vermintide 2 ; 3865.13
Prison Architect ; 1617.18
Kerbal Space Program ; 3542.5
Total War: MEDIEVAL II - Definitive Edition ; 3141.73
Clicker Heroes ; 2879.21
theHunter: Call of the Wild� ; 1464.77
AdVenture Capitalist ; 1242.88
Starbound ; 2469.94
Crossout ; 2967.99
Warface ; 2818.9
For Honor ; 5789.15
Crusader Kings II ; 7412.04
House Flipper ; 1189.02
XCOM 2 ; 5299.94
Blender ; 818.17
Far Cry 5 ; 4499.44
The Isle ; 1124.37
Assetto Corsa Competizione ; 170.72
Borderlands 2 ; 7619.02
Kenshi ; 3667.37
Heroes & Generals ; 4165.42
Eco ; 332.27
Shakes and Fidget ; 1899.73
Subnautica ; 3778.3
Insurgency: Sandstorm ; 4978.04
Total War: EMPIRE - Definitive Edition ; 2806.48
The Sims(TM) 3 ; 4764.37
Transformice ; 610.63
Total War: ATTILA ; 2504.86
Darkest Dungeon� ; 2443.73
Total War: SHOGUN 2 ; 2261.7
HITMAN� 2 ; 11098.05
Portal 2 ; 2507.92
Kingdom Come: Deliverance ; 3027.98
They Are Billions ; 2607.26
ATLAS ; 39315.58
Assassin's Creed Origins ; 2571.01
Fishing Planet ; 1053.55
Middle-earth�: Shadow of War� ; 3729.23
Soundpad Demo ; 62.95
Star Trek Online ; 1216.76
Catan Universe ; 275.66
Men of War: Assault Squad 2 ; 1499.4
Trove ; 2646.76
Football Manager 2018 ; 2031.72
Football Manager 2018 ; 4266.37
Football Manager 2018 ; 11850.86
Football Manager 2018 ; 33579.56
DARK SOULS� II: Scholar of the First Sin ; 1608.44
DRAGON BALL FighterZ ; 1263.83
Gems of War ; 1518.92
Aseprite ; 570.63
The Crew 2 ; 1508.02
CarX Drift Racing Online ; 212.06
Beat Saber ; 1532.4
KovaaK 2.0 ; 154.28
Neverwinter ; 2235.98
Will To Live Online ; 104.3
Street Fighter V ; 2044.82
DARK SOULS�: REMASTERED ; 882.59
PlanetSide 2 ; 1862.16
Planet Coaster ; 1824.84
Pathfinder: Kingmaker ; 2573.91
The Long Dark ; 2700.27
Stormworks: Build and Rescue ; 559.74
Knight Online ; 2190.13
Project Zomboid ; 696.7
Northgard ; 1821.27
Realm of the Mad God Exalt ; 1078.21
X-Plane 11 ; 1046.41
METAL GEAR SOLID V: THE PHANTOM PAIN ; 2028.96
Jurassic World Evolution ; 3085.9
